Date,East Coast Production of Gasoline (Thousand Barrels per Day),East Coast Production of Jet Fuel (Thousand Barrels per Day),U.S. Production of Gasoline (Thousand Barrels per Day),U.S. Gasoline Demand (Thousand Barrels per Day),U.S. Production of Jet Fuel (Thousand Barrels per Day)
10/30/2020,2914,22,9072,8336,919
10/23/2020,2986,13,9095,8545,840
10/16/2020,2909,20,8933,8289,782
10/09/2020,3030,20,9240,8576,749
10/02/2020,2864,23,9522,8896,799
09/25/2020,2981,25,8892,8529,870
09/18/2020,2941,15,9315,8515,784
09/11/2020,2934,15,8819,8478,810
09/04/2020,2892,7,8930,8390,668
08/28/2020,3016,12,9534,8786,850
08/21/2020,3003,15,9518,9161,904
08/14/2020,3041,12,9400,8630,1028
08/07/2020,3119,8,9600,8883,939
07/31/2020,2978,19,9300,8617,852
07/24/2020,2957,11,9158,8809,925
07/17/2020,2939,9,9079,8550,866
07/10/2020,2891,11,9095,8648,841
07/03/2020,2939,12,9045,8766,853
06/26/2020,2906,10,8905,8561,743
06/19/2020,2856,10,8794,8608,694
06/12/2020,2707,8,8356,7870,740
06/05/2020,2589,7,8139,7900,619
05/29/2020,2481,8,7779,7549,506
05/22/2020,2431,1,7171,7253,496
05/15/2020,2339,,7166,6790,459
05/08/2020,2279,-1,7497,7398,443
05/01/2020,1997,-11,6705,6664,462
04/24/2020,1972,-5,6735,5860,602
04/17/2020,1782,8,6205,5311,646
04/10/2020,1718,15,5915,5081,715
04/03/2020,1706,29,5818,5065,872
03/27/2020,2085,31,7456,6659,1129
03/20/2020,3066,63,8958,8837,1457
03/13/2020,3256,59,9974,9696,1603
03/06/2020,3239,89,9956,9449,1631
02/28/2020,3156,80,9757,9186,1640
02/21/2020,3167,90,9797,9035,1613
02/14/2020,3242,75,9525,8918,1687
02/07/2020,3085,94,9241,8722,1803
01/31/2020,3195,117,9903,8933,1854
01/24/2020,3072,92,9158,8793,1844
01/17/2020,3063,96,9535,8662,1872
01/10/2020,2999,106,9281,8558,1937
01/03/2020,2844,108,8887,8133,1874
12/27/2019,3148,111,10173,8961,1992
12/20/2019,3325,111,10269,9303,1871
12/13/2019,3233,90,9840,9411,1870
12/06/2019,3066,92,9753,8882,1799
11/29/2019,3188,98,9941,9032,1933
11/22/2019,3296,113,10065,9204,1796
11/15/2019,3264,101,10053,9192,1812
11/08/2019,3379,99,10173,9321,1780
11/01/2019,3212,73,10036,9145,1740
10/25/2019,3264,45,10184,9784,1684
10/18/2019,3238,73,10098,9590,1647
10/11/2019,3262,72,9998,9354,1629
10/04/2019,3249,89,10066,9460,1690
09/27/2019,3278,85,10081,9137,1721
09/20/2019,3322,91,10240,9346,1773
09/13/2019,3092,94,9451,8939,1844
09/06/2019,3300,113,10360,9807,1982
08/30/2019,3412,121,10272,9471,1952
08/23/2019,3348,95,10660,9900,1914
08/16/2019,3409,111,9897,9626,1956
08/09/2019,3397,114,10203,9932,1938
08/02/2019,3341,126,10421,9651,1928
07/26/2019,3385,103,10416,9559,1891
07/19/2019,3374,120,10089,9673,1934
07/12/2019,3241,117,9855,9214,1948
07/05/2019,3333,107,10418,9754,2005
06/28/2019,3372,108,9948,9492,1860
06/21/2019,3342,127,10512,9466,1905
06/14/2019,3306,127,10423,9928,1830
06/07/2019,3371,133,10276,9877,1911
05/31/2019,3314,121,10049,9441,1794
05/24/2019,3440,127,9863,9394,1782
05/17/2019,3374,103,9883,9429,1726
05/10/2019,3406,62,9912,9148,1671
05/03/2019,3233,93,10129,9871,1733
04/26/2019,3300,97,9927,9228,1719
04/19/2019,3293,96,9781,9409,1702
04/12/2019,3346,84,9917,9420,1714
04/05/2019,3271,72,10169,9806,1722
03/29/2019,3286,72,9813,9131,1705
03/22/2019,3291,88,9657,9124,1741
03/15/2019,3279,84,9925,9409,1765
03/08/2019,3261,77,9735,9140,1718
03/01/2019,3106,80,9852,9062,1628
02/22/2019,3109,83,9553,8981,1775
02/15/2019,3132,81,9489,8800,1690
02/08/2019,3124,86,9619,8648,1685
02/01/2019,3188,94,9856,9073,1772
01/25/2019,3094,84,9904,9564,1752
01/18/2019,3124,112,9604,8868,1747
01/11/2019,3132,121,9584,8565,1813
01/04/2019,2919,94,9392,8735,1850
12/28/2018,3069,107,9533,8623,1897
12/21/2018,3332,92,10144,9348,1861
12/14/2018,3285,96,10334,9243,1849
12/07/2018,3289,94,10457,9036,1843
11/30/2018,3206,96,9666,8877,1725
11/23/2018,3253,58,10168,9188,1763
11/16/2018,3232,46,10036,9185,1755
11/09/2018,3250,57,10056,9192,1655
11/02/2018,3191,50,9714,9099,1748
10/26/2018,3253,54,10364,9262,1670
10/19/2018,3280,65,10028,9324,1642
10/12/2018,3267,58,10430,9182,1666
10/05/2018,3047,55,9711,9078,1784
09/28/2018,3177,73,9950,9102,1744
09/21/2018,2990,88,9832,8987,1861
09/14/2018,3297,87,10270,9534,1871
09/07/2018,3200,99,10384,9649,1934
08/31/2018,3311,100,10215,9734,1891
08/24/2018,3271,123,10237,9899,1991
08/17/2018,3239,110,10151,9453,1980
08/10/2018,3366,112,10234,9512,1985
08/03/2018,3319,99,9913,9346,1949
07/27/2018,3298,99,10483,9878,1969
07/20/2018,3321,106,10255,9846,1841
07/13/2018,3248,102,10292,9708,1844
07/06/2018,3259,116,10699,9275,1906
06/29/2018,3334,113,10311,9869,1944
06/22/2018,3301,107,10142,9731,1897
06/15/2018,3315,79,10099,9326,1872
06/08/2018,3274,91,10451,9879,1774
06/01/2018,3111,101,9658,8976,1887
05/25/2018,3272,106,10433,9689,1785
05/18/2018,3263,112,10052,9689,1769
05/11/2018,3258,122,10462,9531,1803
05/04/2018,3281,119,9974,9775,1800
04/27/2018,3223,120,10045,9090,1812
04/20/2018,3172,99,9886,9083,1771
04/13/2018,3240,102,10204,9857,1754
04/06/2018,3110,85,10150,9273,1765
03/30/2018,3161,82,10115,9203,1787
03/23/2018,3098,70,10305,9208,1881
03/16/2018,3106,85,9932,9324,1745
03/09/2018,3193,66,10280,9642,1767
03/02/2018,3188,75,9923,9276,1724
02/23/2018,3036,69,9391,8860,1663
02/16/2018,3074,86,10107,9002,1703
02/09/2018,3102,84,9592,9059,1673
02/02/2018,3062,100,10085,9110,1697
01/26/2018,2952,110,9567,9044,1621
01/19/2018,2951,116,9358,8697,1700
01/12/2018,2958,101,9710,8668,1781
01/05/2018,2725,97,9525,8814,1740
12/29/2017,2970,101,9682,8650,1774
12/22/2017,3314,115,10246,9485,1850
12/15/2017,3096,100,10065,9426,1707
12/08/2017,3281,101,10129,9091,1729
12/01/2017,3058,119,9758,8895,1766
11/24/2017,3200,116,10222,8724,1633
11/17/2017,3254,100,10432,9595,1694
11/10/2017,3248,85,9852,9172,1610
11/03/2017,3178,99,10167,9496,1627
10/27/2017,3234,90,10187,9461,1558
10/20/2017,3301,88,9936,9314,1520
10/13/2017,3207,102,10031,9136,1523
10/06/2017,3313,103,9741,9480,1697
09/29/2017,3310,77,9853,9241,1618
09/22/2017,3219,90,9855,9522,1711
09/15/2017,3015,113,9793,9441,1672
09/08/2017,3186,98,9888,9619,1607
09/01/2017,3353,115,9517,9163,1589
08/25/2017,3353,101,10602,9846,1794
08/18/2017,3352,101,10566,9629,1822
08/11/2017,3291,105,10048,9522,1772
08/04/2017,3245,90,10301,9797,1804
07/28/2017,3371,103,10295,9842,1781
07/21/2017,3321,89,10393,9821,1826
07/14/2017,3228,88,10096,9592,1783
07/07/2017,3205,92,10469,9786,1834
06/30/2017,3314,88,10365,9705,1760
06/23/2017,3342,106,10334,9538,1775
06/16/2017,3294,86,10163,9816,1721
06/09/2017,3276,91,9843,9269,1774
06/02/2017,3093,107,9934,9317,1762
05/26/2017,3376,87,10430,9822,1701
05/19/2017,3324,83,10243,9704,1639
05/12/2017,3279,83,10020,9452,1712
05/05/2017,3185,95,10052,9408,1717
04/28/2017,3267,108,9783,9156,1738
04/21/2017,3223,101,9710,9206,1809
04/14/2017,3185,77,9794,9223,1751
04/07/2017,3178,77,9927,9275,1692
03/31/2017,3112,89,9515,9245,1722
03/24/2017,3107,76,10028,9524,1731
03/17/2017,3097,61,9771,9200,1634
03/10/2017,3244,69,9540,9254,1580
03/03/2017,3018,67,9844,9268,1571
02/24/2017,3129,71,9456,8686,1562
02/17/2017,3014,58,9429,8663,1586
02/10/2017,2927,72,8950,8433,1645
02/03/2017,3004,74,9804,8941,1663
01/27/2017,2886,87,9101,8310,1637
01/20/2017,2960,72,8825,8039,1650
01/13/2017,2883,69,8953,8069,1621
01/06/2017,2830,78,9666,8470,1707
12/30/2016,3019,75,9467,8465,1626
12/23/2016,3306,76,10537,9278,1668
12/16/2016,3268,73,10150,9269,1632
12/09/2016,3171,85,9828,8874,1703
12/02/2016,3070,98,9913,8757,1762
11/25/2016,3217,91,9986,9080,1720
11/18/2016,3202,86,9700,9024,1715
11/11/2016,3139,90,10152,9359,1665
11/04/2016,3305,90,10456,9213,1585
10/28/2016,3240,89,9824,9183,1562
10/21/2016,3208,89,9837,9118,1578
10/14/2016,3156,80,9498,8798,1580
10/07/2016,3271,62,9935,9264,1600
09/30/2016,3260,79,9988,9390,1714
09/23/2016,3179,75,9555,8880,1706
09/16/2016,3161,65,10083,9650,1715
09/09/2016,3187,76,9900,9406,1760
09/02/2016,3276,81,10173,9595,1799
08/26/2016,3294,75,10021,9511,1751
08/19/2016,3277,91,10035,9659,1786
08/12/2016,3361,89,10280,9762,1849
08/05/2016,3321,82,10098,9769,1842
07/29/2016,3271,92,9992,9752,1759
07/22/2016,3316,93,10068,9797,1688
07/15/2016,3249,94,10050,9785,1722
07/08/2016,3163,81,10218,9671,1727
07/01/2016,3393,92,10018,9755,1736
06/24/2016,3328,91,9959,9709,1656
06/17/2016,3303,88,10289,9815,1633
06/10/2016,3304,89,9707,9762,1562
06/03/2016,3234,81,10122,9568,1645
05/27/2016,3296,86,9916,9716,1609
05/20/2016,3259,82,9866,9516,1572
05/13/2016,3278,74,9997,9755,1633
05/06/2016,3187,92,10051,9658,1561
04/29/2016,3308,89,9811,9502,1572
04/22/2016,3318,92,9507,9315,1683
04/15/2016,3204,101,9738,9444,1621
04/08/2016,3150,92,9568,9633,1596
04/01/2016,3144,108,9617,9224,1636
03/25/2016,3071,90,9430,9244,1587
03/18/2016,3079,78,9683,9503,1510
03/11/2016,3194,99,10015,9458,1598
03/04/2016,3113,96,9580,9411,1577
02/26/2016,3091,92,9335,9121,1621
02/19/2016,3069,87,10009,9576,1590
02/12/2016,3070,76,9675,9203,1547
02/05/2016,3008,77,9553,9122,1570
01/29/2016,2725,83,8642,8341,1510
01/22/2016,3112,94,9377,8941,1585
01/15/2016,3065,88,9453,9079,1547
01/08/2016,2805,97,8820,8500,1643
01/01/2016,2846,95,8766,8159,1679
12/25/2015,3171,86,9921,9395,1697
12/18/2015,3098,88,9346,9185,1751
12/11/2015,3117,81,9963,9220,1705
12/04/2015,2938,101,9869,9420,1711
11/27/2015,3011,131,9752,9281,1761
11/20/2015,3056,113,9544,8921,1648
11/13/2015,3009,87,9558,9054,1590
11/06/2015,3051,107,9693,9388,1658
10/30/2015,3120,97,9537,9184,1580
10/23/2015,3199,96,9703,9343,1556
10/16/2015,3144,86,9579,9157,1540
10/09/2015,3063,84,9619,9137,1563
10/02/2015,3041,87,9306,8958,1541
09/25/2015,3148,95,9674,9021,1533
09/18/2015,3101,90,9545,9215,1505
09/11/2015,2959,81,9247,8983,1656
09/04/2015,3139,90,9587,9017,1661
08/28/2015,3256,94,9799,9438,1564
08/21/2015,3186,87,9782,9189,1588
08/14/2015,3253,99,10248,9705,1639
08/07/2015,3213,93,9993,9686,1593
07/31/2015,3223,98,9984,9687,1634
07/24/2015,3182,102,9681,9339,1704
07/17/2015,3194,95,10109,9749,1722
07/10/2015,3134,79,9658,9404,1657
07/03/2015,3096,81,9868,9532,1693
06/26/2015,3218,87,10046,9731,1639
06/19/2015,3241,79,9934,9655,1672
06/12/2015,3183,82,9651,9176,1672
06/05/2015,3132,105,10007,9600,1658
05/29/2015,3132,110,9408,8978,1710
05/22/2015,3271,99,10164,9734,1636
05/15/2015,3254,121,9651,9261,1620
05/08/2015,3089,104,9690,9201,1615
05/01/2015,3066,112,9152,8785,1568
04/24/2015,3079,121,9374,8920,1660
04/17/2015,3071,114,9763,9185,1592
04/10/2015,3124,108,9249,8914,1620
04/03/2015,2962,104,9143,8610,1540
03/27/2015,2995,117,9729,9435,1517
03/20/2015,2996,100,9024,8619,1516
03/13/2015,2976,93,9754,9260,1504
03/06/2015,2845,88,9165,8515,1440
02/27/2015,2939,55,9522,8630,1453
02/20/2015,2986,65,9659,8915,1529
02/13/2015,2884,83,9180,8809,1605
02/06/2015,2826,86,8708,8282,1613
01/30/2015,2940,108,9087,8442,1523
01/23/2015,2955,99,9177,9022,1538
01/16/2015,3002,98,9215,8851,1511
01/09/2015,2826,104,9125,8875,1600
01/02/2015,2686,99,8701,8809,1640
12/26/2014,2924,92,10195,9614,1661
12/19/2014,3119,99,9920,9518,1687
12/12/2014,2971,89,9652,9373,1631
12/05/2014,2948,108,9169,8549,1637
11/28/2014,2932,94,9593,9425,1628
11/21/2014,2935,102,9641,9254,1608
11/14/2014,2952,90,9630,9194,1511
11/07/2014,2962,105,9345,9005,1566
10/31/2014,2981,104,9695,9162,1502
10/24/2014,3085,91,9078,8867,1511
10/17/2014,3131,116,9313,8836,1421
10/10/2014,3086,104,9254,9043,1528
10/03/2014,2858,112,8874,8645,1573
09/26/2014,2979,126,9045,8660,1554
09/19/2014,3039,113,9135,8781,1680
09/12/2014,2928,116,9174,8707,1709
09/05/2014,3028,107,8965,8611,1728
08/29/2014,2972,108,9572,9480,1687
08/22/2014,3152,106,9514,9100,1674
08/15/2014,3080,114,9152,8775,1671
08/08/2014,3131,99,9518,8922,1656
08/01/2014,3097,133,9759,9359,1677
07/25/2014,3135,117,9337,9006,1686
07/18/2014,3160,96,9357,8792,1668
07/11/2014,3096,91,9139,9057,1638
07/04/2014,3176,101,9425,8935,1595
06/27/2014,3219,107,9436,9168,1514
06/20/2014,3150,101,9054,8813,1475
06/13/2014,3207,106,9840,9258,1576
06/06/2014,3126,106,8855,8624,1475
05/30/2014,3100,85,9476,9104,1530
05/23/2014,3228,94,9526,9310,1504
05/16/2014,3247,83,9592,9174,1483
05/09/2014,3145,68,9606,9191,1537
05/02/2014,3024,92,8992,8719,1521
04/25/2014,3048,83,8623,8693,1534
04/18/2014,2914,93,8891,8430,1481
04/11/2014,2859,82,8939,8616,1479
04/04/2014,3139,78,9370,8996,1522
03/28/2014,2865,67,9043,8713,1488
03/21/2014,2822,77,9000,9002,1452
03/14/2014,2935,76,9231,8512,1407
03/07/2014,2869,80,9357,8949,1478
02/28/2014,2842,79,9037,8411,1502
02/21/2014,2693,73,8693,8535,1474
02/14/2014,2714,61,8776,8030,1433
02/07/2014,2696,57,8866,8325,1483
01/31/2014,2664,54,8796,8452,1424
01/24/2014,2694,58,9187,8584,1469
01/17/2014,2734,52,8475,8059,1504
01/10/2014,2672,58,8325,8021,1530
01/03/2014,2595,81,9120,8274,1668
12/27/2013,2786,68,9078,8893,1643
12/20/2013,2952,58,9715,9176,1620
12/13/2013,2871,65,9311,9016,1595
12/06/2013,2839,66,8982,8348,1619
11/29/2013,2870,65,8977,8873,1564
11/22/2013,2870,63,9420,8909,1502
11/15/2013,2854,48,9268,8924,1451
11/08/2013,2955,48,9434,9032,1496
11/01/2013,2867,46,8352,9292,1484
10/25/2013,2944,49,9434,9054,1440
10/18/2013,2847,40,9130,8797,1459
10/11/2013,2889,44,9335,9077,1415
10/04/2013,2886,75,9249,8846,1458
09/27/2013,2920,84,8929,8527,1497
09/20/2013,2813,83,9030,8846,1519
09/13/2013,2830,82,9288,9028,1570
09/06/2013,2940,75,9069,8605,1628
08/30/2013,2951,73,9065,9094,1670
08/23/2013,3025,85,9403,9031,1600
08/16/2013,3018,69,9436,9200,1583
08/09/2013,2971,67,9072,9190,1543
08/02/2013,3030,74,9552,9246,1590
07/26/2013,3057,73,9504,9147,1601
07/19/2013,3033,70,9213,8982,1564
07/12/2013,2914,73,9047,8729,1528
07/05/2013,3074,70,9586,9299,1613
06/28/2013,3096,69,9382,9294,1610
06/21/2013,2963,67,9133,8894,1525
06/14/2013,3028,65,9100,8840,1529
06/07/2013,3090,74,9203,8648,1504
05/31/2013,2975,65,9341,8822,1517
05/24/2013,3091,65,9009,8956,1460
05/17/2013,3126,67,9214,8790,1445
05/10/2013,2983,71,8929,8341,1516
05/03/2013,3014,78,8673,8445,1602
04/26/2013,3022,84,8786,8415,1483
04/19/2013,2938,96,8995,8750,1506
04/12/2013,2931,83,8902,8383,1484
04/05/2013,3069,82,8761,8477,1532
03/29/2013,2757,81,8946,8523,1566
03/22/2013,2976,80,8861,8399,1538
03/15/2013,2780,81,8558,8324,1402
03/08/2013,2707,75,8954,8627,1370
03/01/2013,2793,69,8606,8364,1403
02/22/2013,2718,73,9211,8597,1396
02/15/2013,2731,70,8936,8437,1443
02/08/2013,2735,83,8896,8404,1436
02/01/2013,2743,75,8761,8415,1393
01/25/2013,2647,71,9064,8501,1394
01/18/2013,2738,67,8908,8431,1386
01/11/2013,2792,66,8590,8320,1517
01/04/2013,2514,66,8385,8010,1511
12/28/2012,2682,65,8917,8518,1533
12/21/2012,2870,64,9545,8608,1464
12/14/2012,2825,66,8888,8618,1488
12/07/2012,2893,68,8908,8488,1494
11/30/2012,2799,66,9197,8354,1446
11/23/2012,2865,48,8729,8427,1339
11/16/2012,2858,48,9189,8898,1372
11/09/2012,2765,32,9103,8908,1354
11/02/2012,2812,22,8892,8307,1445
10/26/2012,2894,48,9203,8844,1484
10/19/2012,2942,50,8989,8493,1462
10/12/2012,2760,56,9046,8729,1421
10/05/2012,2782,61,8638,8587,1454
09/28/2012,2818,56,9107,8633,1535
09/21/2012,2862,50,8930,8770,1476
09/14/2012,2861,54,9118,8632,1491
09/07/2012,2788,48,8951,8695,1448
08/31/2012,2996,42,9276,9177,1459
08/24/2012,2961,42,9183,9064,1551
08/17/2012,2917,44,9321,9081,1599
08/10/2012,2975,48,9357,9308,1637
08/03/2012,2998,57,9250,8839,1692
07/27/2012,2872,47,8977,8820,1686
07/20/2012,2974,48,9264,8660,1497
07/13/2012,2865,48,8894,8628,1578
07/06/2012,3000,44,9318,8917,1684
06/29/2012,3005,43,9388,9001,1557
06/22/2012,3005,49,9280,8846,1577
06/15/2012,2939,42,9022,8693,1609
06/08/2012,3007,47,9551,9130,1577
06/01/2012,2858,41,9056,8648,1606
05/25/2012,3008,50,9153,8931,1473
05/18/2012,3028,52,8945,8633,1451
05/11/2012,2938,49,9098,8971,1338
05/04/2012,2913,33,9087,8864,1369
04/27/2012,2745,43,8786,8692,1432
04/20/2012,2793,55,8789,8496,1455
04/13/2012,2920,51,8915,8775,1395
04/06/2012,2762,52,8912,8681,1376
03/30/2012,2852,49,8973,8783,1432
03/23/2012,2805,53,8756,8710,1407
03/16/2012,2769,54,8762,8379,1368
03/09/2012,2828,45,8821,8415,1339
03/02/2012,2742,52,8589,8262,1346
02/24/2012,2791,62,8850,8363,1414
02/17/2012,2729,38,8975,8628,1443
02/10/2012,2768,38,8788,8167,1379
02/03/2012,2751,44,8626,8039,1387
01/27/2012,2618,54,8562,8018,1388
01/20/2012,2691,45,8539,8098,1453
01/13/2012,2682,53,8788,7996,1420
01/06/2012,2555,58,8739,8179,1489
12/30/2011,2585,49,8936,8556,1434
12/23/2011,2902,48,9402,8923,1417
12/16/2011,2916,52,9390,8879,1420
12/09/2011,2809,59,9544,8666,1440
12/02/2011,2688,79,9127,8574,1445
11/25/2011,2815,84,9188,8769,1363
11/18/2011,2931,70,9470,8592,1370
11/11/2011,2932,72,9135,8625,1337
11/04/2011,2743,57,8815,8671,1329
10/28/2011,2905,76,9082,8518,1382
10/21/2011,2906,59,8936,8501,1406
10/14/2011,2831,56,9313,8598,1378
10/07/2011,2811,62,8914,9010,1503
09/30/2011,2812,100,9286,8959,1619
09/23/2011,2918,93,9279,8964,1518
09/16/2011,3014,96,9078,8858,1570
09/09/2011,2896,94,9356,8848,1503
09/02/2011,2886,97,9161,8956,1568
08/26/2011,3177,96,9584,9229,1558
08/19/2011,2983,73,9343,9009,1530
08/12/2011,3123,79,9324,9195,1528
08/05/2011,3216,79,9533,9244,1492
07/29/2011,3133,83,9146,9215,1486
07/22/2011,3078,106,9190,8999,1542
07/15/2011,3048,106,9242,9028,1621
07/08/2011,2943,97,8898,9016,1551
07/01/2011,3053,94,9529,9309,1499
06/24/2011,3042,85,9097,9261,1585
06/17/2011,3154,83,9541,9319,1539
06/10/2011,3043,91,9469,9370,1492
06/03/2011,2925,93,9446,9163,1511
05/27/2011,3092,106,9433,9431,1480
05/20/2011,2969,118,9259,9025,1450
05/13/2011,3002,92,9131,9048,1383
05/06/2011,2938,79,8876,8826,1361
04/29/2011,3071,113,8826,8943,1472
04/22/2011,2878,84,8841,9148,1345
04/15/2011,2926,92,9168,9062,1410
04/08/2011,2752,63,8970,9181,1444
04/01/2011,2885,72,8810,8853,1424
03/25/2011,2764,74,8696,8866,1484
03/18/2011,2875,80,9026,9074,1391
03/11/2011,2850,82,8744,8830,1379
03/04/2011,2856,90,9026,9192,1412
02/25/2011,2920,92,9226,9162,1344
02/18/2011,2884,83,9143,9101,1371
02/11/2011,2886,97,9169,8810,1239
02/04/2011,2756,96,9076,8524,1355
01/28/2011,2681,69,8827,8549,1400
01/21/2011,2772,54,8815,8632,1356
01/14/2011,2654,64,8867,8775,1313
01/07/2011,2672,59,8725,8819,1468
12/31/2010,2705,69,8920,8853,1422
12/24/2010,3064,72,9281,9399,1413
12/17/2010,2970,75,9457,9213,1419
12/10/2010,2920,70,9335,9349,1382
12/03/2010,2871,61,9396,9171,1402
11/26/2010,2747,78,8795,8867,1326
11/19/2010,2865,71,8943,8829,1416
11/12/2010,2877,73,8932,8952,1374
11/05/2010,2846,60,9011,9056,1339
10/29/2010,2877,72,8981,9015,1309
10/22/2010,2926,74,9214,9358,1345
10/15/2010,2990,97,9046,8891,1296
10/08/2010,2838,73,8727,8812,1353
10/01/2010,2830,75,8769,8989,1354
09/24/2010,2830,80,9159,9383,1306
09/17/2010,2690,74,9020,8847,1423
09/10/2010,2727,77,9175,9019,1489
09/03/2010,2835,83,9495,9263,1439
08/27/2010,2792,72,9306,9386,1423
08/20/2010,2844,71,9619,9375,1419
08/13/2010,2802,81,9446,9459,1448
08/06/2010,2772,66,9291,9236,1421
07/30/2010,2849,78,9415,9477,1503
07/23/2010,2897,70,9648,9632,1533
07/16/2010,2792,86,9315,9435,1585
07/09/2010,2881,61,9508,9080,1521
